# iteración mejor promedio
288 0.13008045919499064 0.4660359515470959
289 0.13007962109368087 0.7252896351915828
290 0.13007962109368087 0.9487242227348008
291 0.13007962109368087 0.13101168466880028
292 0.13007962109368087 0.7707215188511857
293 0.13007962109368087 0.39296665204619446
294 0.13007962109368087 1.754411354138563
295 0.13007962109368087 0.582327329035346
296 0.13007962109368087 0.6116225036528972
297 0.13007962109368087 0.5542143970595982
298 0.13007962109368087 0.6613787994853709
299 0.13007934175041944 0.9693216518951233
300 0.13007934175041944 0.9171214099782351
301 0.13007934175041944 0.19708609913400427
302 0.13007934175041944 0.13075891041422824
303 0.13007934175041944 0.13076938630753537
304 0.13007934175041944 0.35289153377532545
305 0.13007934175041944 0.13061055215199524
306 0.13007934175041944 0.7255662442766577
307 0.13007934175041944 1.110125918259935
308 0.13007934175041944 0.13065397765884967
309 0.13007934175041944 1.8643222158352108
310 0.13007934175041944 0.19805446878102761
311 0.13007934175041944 0.39177601090828806
312 0.13007934175041944 0.6490620726727816
313 0.130079273467306 2.0300331244168315
314 0.13007927220368692 0.9843313678911934
315 0.13007819781753163 0.6965137063615308
316 0.13007819781753163 0.7495267043781826
317 0.1300387645578377 0.28484302684670326
318 0.12999674904488717 0.5052140167534142
319 0.12999674904488717 0.5337142324811427
320 0.12999674904488717 1.4603991514662389
321 0.1293113659108162 0.6811486606638213
322 0.1293113659108162 1.0906507640661642
323 0.1293113659108162 0.6136208507512937
324 0.1293113659108162 0.5449055401902078
325 0.12917826222634132 0.1304840577058991
326 0.12917798283539614 0.1304732515925101
327 0.1291779189987912 0.971331221807588
328 0.12917714473408637 0.3352093209953455
329 0.12916133136394753 0.3312865980313099
330 0.1291605342110482 1.1540670712217367
331 0.12773437667637422 0.21892697255954563
332 0.12773437667637422 0.19811259504130896
333 0.12760094350918672 1.2607818119138055
334 0.1275950646764274 1.1407110986432254
335 0.12759482320597534 1.149059035153996
336 0.12759482320597534 0.20625789644282883
337 0.12759482320597534 0.37599629105198196
338 0.12759482320597534 0.6665506676140247
339 0.11876313394039599 0.7130496299194309
340 0.11876313394039599 0.6366119635887206
341 0.11876313394039599 0.5420341980949079
342 0.11876313394039599 0.2427693292012453
343 0.11876313394039599 0.6364740166993452
344 0.11863945371899078 0.6462615513044468
345 0.11090900237094828 0.9153076775704946
346 0.11041251597106576 0.354669455495495
347 0.11034138404017484 0.5212486448496972
348 0.11034138404017484 0.12993741419668114
349 0.11034138404017484 0.12984148192028577
350 0.11034138404017484 0.13008997672383107
351 0.11034138404017484 1.2654563533767826
352 0.11033480311204902 1.2871309476330486
353 0.11033478487301902 0.2692371733697727
354 0.1103336892199163 0.12965437166856797
355 0.11033323152755177 0.5382010642924902
356 0.11033323152755177 0.16749116634024183
357 0.11033323152755177 0.9580368777300181
358 0.11033323152755177 0.1955025368455711
359 0.11033323152755177 0.5266408182087564
360 0.10345066114993033 0.1292044680927167
361 0.10344407743230581 0.12834975738203125
362 0.10344407743230581 0.1930767816402951
363 0.09723167036195186 0.12693669303503152
364 0.09716814292639762 0.1263818886812917
365 0.09716814292639762 0.19586349876325138
366 0.09716786658721183 1.1147705591976893
367 0.0971600405055419 0.4406344760596385
368 0.0971600405055419 0.2703960783733348
369 0.09715316626281936 0.12446304091246171
370 0.09673645406612985 0.8329494350797941
371 0.09673645406612985 0.13158913610529663
372 0.09121228336979005 0.5457910956044937
373 0.0899610605918407 0.3549739019198342
374 0.0899610605918407 0.9702210688311229
375 0.0899610605918407 0.1740397421452265
376 0.08972934687642393 0.6741552356196184
377 0.08972934687642393 0.5100268366810208
378 0.08972934687642393 2.49406500985585
379 0.08972934687642393 0.11151174788229909
380 0.08972934687642393 0.11219739601958141
381 0.08972934687642393 1.1025475692552023
382 0.08972934687642393 0.8306475952190135
383 0.08972934687642393 0.46180036233195393
384 0.0897284981058776 0.6866149037051537
385 0.08971784579710254 0.10602329987545583
386 0.08968986455016319 0.8554600603518877
387 0.08923255232038094 0.17080846999392488
388 0.08923255232038094 0.9856812388028479
389 0.08916957595387236 0.17425951468473372
390 0.08916147353301654 0.8778068376158992
391 0.08916147353301654 0.601606367274842
392 0.08916147353301654 1.335286186700058
393 0.08916147353301654 1.4725714316712646
394 0.08916147353301654 0.1940435300405655
395 0.08916147353301654 0.36458399821297155
396 0.08916147353301654 1.8254405022841254
397 0.08916147353301654 0.5570888456016916
398 0.08368307703224034 0.5998835354941314
399 0.08368307703224034 0.7095013808979614
400 0.08368307703224034 0.09431459251318264
401 0.08368302388871372 0.09405036612736208
402 0.08367248872696341 0.8503869228080848
403 0.08367248872696341 0.6456942487828359
